target,value,tid,date,cookie,hashid,ip,platform,webGL,canvas,deviceId
operation_system,Win32,35529207-38b9-42dc-2088-72c68dd71ccd,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
operation_system,Win32,53d8cd06-d51a-4a23-feb9-5a531e409f7c,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
operation_system,Win32,d6291e74-0839-4e91-cbeb-a4ae7fd85d8b,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
operation_system,Win32,dbbc685a-47c1-4436-6c78-8e9805a8446c,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
platform,web,35529207-38b9-42dc-2088-72c68dd71ccd,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
platform,web,53d8cd06-d51a-4a23-feb9-5a531e409f7c,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
platform,web,d6291e74-0839-4e91-cbeb-a4ae7fd85d8b,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
platform,web,dbbc685a-47c1-4436-6c78-8e9805a8446c,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36",35529207-38b9-42dc-2088-72c68dd71ccd,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36",53d8cd06-d51a-4a23-feb9-5a531e409f7c,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36",d6291e74-0839-4e91-cbeb-a4ae7fd85d8b,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36",dbbc685a-47c1-4436-6c78-8e9805a8446c,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
webGL_hash,3760759109,35529207-38b9-42dc-2088-72c68dd71ccd,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
webGL_hash,3760759109,53d8cd06-d51a-4a23-feb9-5a531e409f7c,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
webGL_hash,3760759109,d6291e74-0839-4e91-cbeb-a4ae7fd85d8b,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
webGL_hash,3760759109,dbbc685a-47c1-4436-6c78-8e9805a8446c,2020-07-27,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
operation_system,Win32,874f6fab-952c-4b08-9aac-6aaaaf734e30,2020-07-28,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
platform,web,874f6fab-952c-4b08-9aac-6aaaaf734e30,2020-07-28,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36",874f6fab-952c-4b08-9aac-6aaaaf734e30,2020-07-28,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
webGL_hash,3760759109,874f6fab-952c-4b08-9aac-6aaaaf734e30,2020-07-28,89d729b822394710b17b4c16d97a464b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,109.252.100.124,web,3760759109.0,1719416089,2753301233.0
operation_system,Linux x86_64,501f305f-510a-4bdf-90cc-72d5012e6f99,2020-08-20,,B4B6E5DEEEC1253972CD0EC230E2951C5B2518C19CF9AA4198EE8731FEE58795,91.195.17.153,web,3396702633.0,2479470794,115993642.0
platform,web,501f305f-510a-4bdf-90cc-72d5012e6f99,2020-08-20,,B4B6E5DEEEC1253972CD0EC230E2951C5B2518C19CF9AA4198EE8731FEE58795,91.195.17.153,web,3396702633.0,2479470794,115993642.0
userAgent,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:79.0) Gecko/20100101 Firefox/79.0,501f305f-510a-4bdf-90cc-72d5012e6f99,2020-08-20,,B4B6E5DEEEC1253972CD0EC230E2951C5B2518C19CF9AA4198EE8731FEE58795,91.195.17.153,web,3396702633.0,2479470794,115993642.0
webGL_hash,3396702633,501f305f-510a-4bdf-90cc-72d5012e6f99,2020-08-20,,B4B6E5DEEEC1253972CD0EC230E2951C5B2518C19CF9AA4198EE8731FEE58795,91.195.17.153,web,3396702633.0,2479470794,115993642.0
operation_system,Linux x86_64,5f3b2b78-11f0-4ddc-f8f6-e829b7563720,2020-08-22,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207.0,3009703585,119669791.0
