target,value,tid,date,cookie,hashid,ip,platform,webGL,canvas,deviceId
operation_system,Linux x86_64,4b9c6530-6be4-492b-b371-06201a4898b8,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
operation_system,Linux x86_64,50ec04d8-b245-4d61-2707-7fdd814d1e7f,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
operation_system,Linux x86_64,8fc025ef-8fc2-4e72-b491-832fd5c2b497,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
operation_system,Linux x86_64,95037040-77ec-4dd8-af2f-240a5f877f38,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
platform,web,4b9c6530-6be4-492b-b371-06201a4898b8,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
platform,web,50ec04d8-b245-4d61-2707-7fdd814d1e7f,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
platform,web,8fc025ef-8fc2-4e72-b491-832fd5c2b497,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
platform,web,95037040-77ec-4dd8-af2f-240a5f877f38,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
userAgent,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 YaBrowser/20.4.3.268 (beta) Yowser/2.5 Safari/537.36",4b9c6530-6be4-492b-b371-06201a4898b8,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
userAgent,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 YaBrowser/20.4.3.268 (beta) Yowser/2.5 Safari/537.36",50ec04d8-b245-4d61-2707-7fdd814d1e7f,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
userAgent,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 YaBrowser/20.4.3.268 (beta) Yowser/2.5 Safari/537.36",8fc025ef-8fc2-4e72-b491-832fd5c2b497,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
userAgent,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 YaBrowser/20.4.3.268 (beta) Yowser/2.5 Safari/537.36",95037040-77ec-4dd8-af2f-240a5f877f38,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
webGL_hash,1437082207,4b9c6530-6be4-492b-b371-06201a4898b8,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
webGL_hash,1437082207,50ec04d8-b245-4d61-2707-7fdd814d1e7f,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
webGL_hash,1437082207,8fc025ef-8fc2-4e72-b491-832fd5c2b497,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
