target,value,tid,date,time,cookie,hashid,ip,platform,customer,webGL,canvas,deviceId
operation_system,Linux x86_64,2044e958-25cb-4ef6-3caf-b304585e57a9,2020-07-31,2020-07-31 10:16:13+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
operation_system,Linux x86_64,5cf17f48-0941-4413-25cb-d83810004ff3,2020-07-31,2020-07-31 10:15:18+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
operation_system,Linux x86_64,81bf95b5-6381-4eab-c53e-590e1b2b9aa2,2020-07-31,2020-07-31 10:16:24+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
platform,web,2044e958-25cb-4ef6-3caf-b304585e57a9,2020-07-31,2020-07-31 10:16:13+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
platform,web,5cf17f48-0941-4413-25cb-d83810004ff3,2020-07-31,2020-07-31 10:15:18+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
platform,web,81bf95b5-6381-4eab-c53e-590e1b2b9aa2,2020-07-31,2020-07-31 10:16:24+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
userAgent,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,2044e958-25cb-4ef6-3caf-b304585e57a9,2020-07-31,2020-07-31 10:16:13+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
userAgent,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,5cf17f48-0941-4413-25cb-d83810004ff3,2020-07-31,2020-07-31 10:15:18+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
userAgent,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,81bf95b5-6381-4eab-c53e-590e1b2b9aa2,2020-07-31,2020-07-31 10:16:24+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
webGL_hash,3396702633,2044e958-25cb-4ef6-3caf-b304585e57a9,2020-07-31,2020-07-31 10:16:13+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
webGL_hash,3396702633,5cf17f48-0941-4413-25cb-d83810004ff3,2020-07-31,2020-07-31 10:15:18+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
webGL_hash,3396702633,81bf95b5-6381-4eab-c53e-590e1b2b9aa2,2020-07-31,2020-07-31 10:16:24+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.153,web,testsz,3396702633,1109645299,4004059911
operation_system,Linux x86_64,c5a656fe-6ead-486f-eba4-6786986ca205,2020-06-09,2020-06-09 12:53:29+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.163,web,testsz,3396702633,185448821,1512404223
operation_system,MacIntel,6e371745-d7bd-4c87-f0b3-ff2aab4e8957,2020-06-09,2020-06-09 12:57:49+00:00,fa39c32c344744b68b9e64352a59c471,,89.222.164.111,web,testsz,4033135209,2180717899,2092308393
operation_system,MacIntel,b4cfa2d0-bbdf-4683-c7ed-13d4c2922880,2020-06-09,2020-06-09 12:56:52+00:00,dfcc58f35a124cdaaf11b3e1bb94a67b,,89.222.164.111,web,testsz,4033135209,2180717899,2092308393
platform,web,6e371745-d7bd-4c87-f0b3-ff2aab4e8957,2020-06-09,2020-06-09 12:57:49+00:00,fa39c32c344744b68b9e64352a59c471,,89.222.164.111,web,testsz,4033135209,2180717899,2092308393
platform,web,b4cfa2d0-bbdf-4683-c7ed-13d4c2922880,2020-06-09,2020-06-09 12:56:52+00:00,dfcc58f35a124cdaaf11b3e1bb94a67b,,89.222.164.111,web,testsz,4033135209,2180717899,2092308393
platform,web,c5a656fe-6ead-486f-eba4-6786986ca205,2020-06-09,2020-06-09 12:53:29+00:00,6f78bf8fe98b40bca7069120a693969c,,91.195.17.163,web,testsz,3396702633,185448821,1512404223
